language,similiarity_to_spanish,n_span,similiarity_to_english,n_eng,similiarity_to_japanese,n_jap,Unrelated_Mean,Unrelated_Std_dev,Unrelated_Distribution,zscore_span,zscore_eng,zscore_jap
AGTA,2.7777777777777777,36,2.7777777777777777,36,9.090909090909092,33,1.4214046822742474,1.2058699917939764,,1.1248087312344923,1.1248087312344923,6.360142022627912
AKLANON,2.941176470588235,34,2.941176470588235,34,6.451612903225806,31,0.8361204013377926,1.0074007565177154,,2.089591511254165,2.089591511254165,5.574238916892519
ARTA,3.571428571428571,28,0,28,4,25,1.5050167224080266,1.044314046554916,,1.978726472020005,0,2.3891120547719003
ATTA PAMPLONA,2.7777777777777777,36,2.7777777777777777,36,9.090909090909092,33,1.4214046822742474,1.121253773126613,,1.209693227360375,1.209693227360375,6.840114693436841
BAJAU WEST COAST,0,28,3.571428571428571,28,11.538461538461538,26,1.3377926421404682,1.3425743695105377,,0,1.6636962391159156,7.597842717673753
BALANGAW,2.7777777777777777,36,2.7777777777777777,36,9.090909090909092,33,1.254180602006689,1.651205489810326,,0.9227180900095627,0.9227180900095627,4.74606494301482
BALANGINGI SAMA,2.5,40,2.5,40,10.81081081081081,37,1.6722408026755853,1.1413375267248198,,0.725253641400674,0.725253641400674,8.006895238395648
BANTON BANTOANON,7.142857142857142,28,0,28,4,25,0.6688963210702341,0.8347257041177222,,7.755794256545237,0,3.990656646246007
BATAK PALAWAN,2.7777777777777777,36,2.7777777777777777,36,9.090909090909092,33,1.2541806020066888,1.1610739322153398,,1.3122309729786554,1.3122309729786554,6.74955166201161
BILAAN KORONADAL,2.7777777777777777,36,0,36,12.121212121212121,33,1.0033444816053512,0.9373005418506264,,1.8931316231493338,0,11.861582430812867
BILAAN SARANGANI,2.7777777777777777,36,0,36,12.121212121212121,33,1.0869565217391304,0.8874962836170934,,1.905158688831361,0,12.433016118672192
BONGGI,3.4482758620689653,29,3.4482758620689653,29,7.4074074074074066,27,0.9197324414715718,0.6029349958969882,,4.193724759392465,4.193724759392465,10.760156584183841
BONTOC GUINAANG,2.7777777777777777,36,2.7777777777777777,36,9.090909090909092,33,1.3377926421404682,1.1008036598735507,,1.3081216824830693,1.3081216824830693,7.043141961990955
BUHI,2.5,40,2.5,40,8.108108108108109,37,1.4214046822742474,1.4299859010440692,,0.7542698966040453,0.7542698966040453,4.676062484918018
BUKIDNON BINUKID,5.4945054945054945,91,4.444444444444445,90,4.545454545454546,88,2.1739130434782608,1.7749925672341869,,1.8707641442135263,1.279177976786771,1.3360853142453704
BUTUANON,2.941176470588235,34,2.941176470588235,34,6.451612903225806,31,1.0869565217391304,1.3312444254256401,,1.392847108641415,1.392847108641415,4.029805705869099
CEBUANO,8.823529411764707,34,2.941176470588235,34,6.451612903225806,31,1.2541806020066888,1.3198172232498968,,5.735149289171552,1.2782041625639,3.9379939961845953
CENTRAL TAGBANWA,5.263157894736842,38,2.631578947368421,38,8.571428571428571,35,1.7558528428093645,1.5073374897424703,,2.3268213494289873,0.5809754686780031,4.521599028087368
CUYONON,3.125,32,0,32,6.896551724137931,29,0.9197324414715718,0.9768663416009968,,2.257491597995066,0,6.11835931706981
DARAGA,2.5,40,2.5,40,8.108108108108109,37,1.3377926421404682,1.3425743695105377,,0.8656558506202064,0.8656558506202064,5.0427861723860365
DUMAGAT CASIGURAN,5.555555555555555,36,5.555555555555555,36,9.090909090909092,33,1.5050167224080266,1.044314046554916,,3.8786597255009996,3.8786597255009996,7.263995340794408
DUPANINGAN AGTA,2.5,40,5,40,5.405405405405405,37,1.3377926421404682,1.1868787263025409,,0.9792132356101223,3.0855783971024,3.427151125993039
ESKAYAN,5.555555555555555,36,2.7777777777777777,36,0,33,1.0869565217391304,0.7685943273766821,,5.813989089756056,2.199887763691481,0
GADDANG,2.7777777777777777,36,2.7777777777777777,36,9.090909090909092,33,1.4214046822742474,1.121253773126613,,1.209693227360375,1.209693227360375,6.840114693436841
HANUNOO,5.813953488372093,86,3.5294117647058822,85,2.4096385542168677,83,2.0903010033444813,1.6281105693349947,,2.287100492535065,0.8839146360613633,0.1961399654833151
HIGAONON BINUKID,5.4945054945054945,91,4.444444444444445,90,4.545454545454546,88,2.1739130434782608,1.7749925672341869,,1.8707641442135263,1.279177976786771,1.3360853142453704
IBANAG,2.941176470588235,34,5.88235294117647,34,6.451612903225806,31,1.0869565217391304,1.1740472279724383,,1.5793401702002348,4.084500440173022,4.569370169845173
IDAAN,2.941176470588235,34,2.941176470588235,34,6.451612903225806,31,1.0869565217391304,1.3312444254256401,,1.392847108641415,1.392847108641415,4.029805705869099
IFUGAO AMGANAD,2.7777777777777777,36,2.7777777777777777,36,9.090909090909092,33,0.9197324414715718,1.3198172232498968,,1.4078050381332232,1.4078050381332232,6.191142610881335
IFUGAO BATAD,5.714285714285714,35,2.857142857142857,35,9.375,32,0.7525083612040133,1.2058699917939764,,4.1146868127135745,1.745324545980096,7.150432216965845
IFUGAO BAYNINAN,2.7777777777777777,36,2.7777777777777777,36,9.090909090909092,33,0.8361204013377926,1.1868787263025409,,1.6359357813150723,1.6359357813150723,6.955039724477389
ILOKANO,2.941176470588235,34,2.941176470588235,34,6.451612903225806,31,1.0869565217391304,0.992251009973127,,1.868700490311743,1.868700490311743,5.406551696663898
ILONGOT KAKIDUGEN,0,35,2.857142857142857,35,12.5,32,1.0869565217391304,0.992251009973127,,0,1.7840106158739697,11.502173707608488
INIBALOI,2.7777777777777777,36,2.7777777777777777,36,9.090909090909092,33,1.0869565217391304,0.992251009973127,,1.7040257344605167,1.7040257344605167,8.066459483257901
IRANUN,2.941176470588235,34,2.941176470588235,34,6.451612903225806,31,1.0869565217391304,0.992251009973127,,1.868700490311743,1.868700490311743,5.406551696663898
IRIGA,2.5,40,2.5,40,8.108108108108109,37,1.3377926421404682,1.3425743695105377,,0.8656558506202064,0.8656558506202064,5.0427861723860365
ISNAG,2.5,40,2.5,40,8.108108108108109,37,1.3377926421404682,1.0074007565177154,,1.1536693320312135,1.1536693320312135,6.720578103763398
ITAWIT,2.941176470588235,34,5.88235294117647,34,9.67741935483871,31,1.0033444816053512,1.0370365080902484,,1.8686246567649705,4.704760557134139,8.364290751158872
ITNEG BINONGAN,2.857142857142857,35,2.857142857142857,35,12.5,32,1.2541806020066888,1.1610739322153398,,1.3805858616407842,1.3805858616407842,9.685704834089405
KADAZAN,2.5,40,2.5,40,8.108108108108109,37,1.1705685618729096,1.290806708685553,,1.0299229382537602,1.0299229382537602,5.374576611319131
KAGAYANEN,2.5,40,5,40,8.108108108108109,37,1.1705685618729096,1.3649521502771327,,0.9739765880123854,2.8055426245891355,5.082624724116987
KALAGAN,5.555555555555555,36,2.7777777777777777,36,6.0606060606060606,33,1.2541806020066888,1.3198172232498968,,3.259068663278412,1.1544001312692431,3.641735669098261
KALINGA GUINAANG,2.7777777777777777,36,2.7777777777777777,36,12.121212121212121,33,1.3377926421404682,1.1008036598735507,,1.3081216824830693,1.3081216824830693,9.79595169615474
KALINGA LIMOS,2.5,40,2.5,40,10.81081081081081,37,1.5886287625418059,1.3760045748419383,,0.6623315460727182,0.6623315460727182,6.702144903354233
KALLAHAN KAYAPA PROPER,2.7777777777777777,36,2.7777777777777777,36,6.0606060606060606,33,1.4214046822742474,1.2849260097249735,,1.0556040466437826,1.0556040466437826,3.610481337617869
KANKANAY NORTHERN,2.7777777777777777,36,2.7777777777777777,36,6.0606060606060606,33,1.3377926421404682,1.2671201696398333,,1.136423498054341,1.136423498054341,3.727202463999927
KAPAMPANGAN,3.488372093023256,86,3.5294117647058822,85,4.819277108433735,83,1.4214046822742474,0.9291852328968591,,2.2244944684548646,2.268661842439791,3.65682999025519
KINARAY A,0,29,0,29,10.714285714285714,28,0.7525083612040133,0.9291852328968591,,0,0,10.720981135294767
LEGAZPI,0,40,5,40,8.108108108108109,37,1.6722408026755853,1.3024884554679959,,0,2.5549241402901504,4.941208713531406
