language,similiarity_to_spanish,similiarity_to_english,similiarity_to_japanese,Unrelated_Mean,Unrelated_Std_dev,Unrelated_Distribution,zscore_span,zscore_eng,zscore_jap
AGTA,2.7777777777777777,2.7777777777777777,6.0606060606060606,3.6538461538461537,2.81650356074554,,0,0,0.8545204558956168
AKLANON,2.941176470588235,2.941176470588235,3.225806451612903,2.5,2.282177322938192,,0.19331384382535266,0.19331384382535266,0.3180324527449351
ATTA PAMPLONA,2.7777777777777777,2.7777777777777777,6.0606060606060606,3.6538461538461537,2.81650356074554,,0,0,0.8545204558956168
BALANGAW,2.7777777777777777,2.7777777777777777,9.090909090909092,3.269230769230769,4.255464059180192,,0,0,1.3680478182207603
BALANGINGI SAMA,2.5,2.5,10.81081081081081,4.8076923076923075,2.5943726083138543,,0,0,2.3138998939015454
BALANGINGI SAMA (1),2.5,2.5,10.81081081081081,4.8076923076923075,2.5943726083138543,,0,0,2.3138998939015454
BATAK PALAWAN,2.7777777777777777,2.7777777777777777,9.090909090909092,3.269230769230769,2.9553298223674394,,0,0,1.9698912377281546
BILAAN KORONADAL,2.7777777777777777,0,12.121212121212121,2.5,2.282177322938192,,0.12171612389003687,0,4.215803927464006
BILAAN SARANGANI,2.7777777777777777,0,9.090909090909092,2.6923076923076925,2.155791246256441,,0.03964673556333669,0,2.968098794218899
BINUKID,2.7777777777777777,2.7777777777777777,6.0606060606060606,3.076923076923077,2.9143763901716166,,0,0,1.0237809343175766
BONGGI,3.4482758620689653,6.896551724137931,3.7037037037037033,2.1153846153846154,2.001601922563589,,0.665912253410121,2.3886703219338172,0.7935239621896538
BONTOC GUINAANG,2.7777777777777777,2.7777777777777777,6.0606060606060606,3.269230769230769,2.7735009811261455,,0,0,1.0064446742116846
BROOKES POINT PALAWAN,3.0303030303030303,3.0303030303030303,6.666666666666667,3.4615384615384617,3.152125859780576,,0,0,1.0168147934776053
BUHI,2.5,2.5,8.108108108108109,3.8461538461538463,3.625055260409921,,0,0,1.1756935979707854
BUHINON ALBAY BICOLANO,3.0303030303030303,3.0303030303030303,6.666666666666667,2.1153846153846154,2.8588593744843283,,0.32002917774976075,0.32002917774976075,1.591992279124606
BUKIDNON BINUKID,5.128205128205128,5.128205128205128,8.333333333333332,2.8846153846153846,2.670470044095282,,0.840147879041212,0.840147879041212,2.0403591348143717
BUTUANON,2.941176470588235,2.941176470588235,3.225806451612903,3.076923076923077,2.9143763901716166,,0,0,0.0510858429926612
CANIPAAN PALAWAN,3.225806451612903,3.225806451612903,7.142857142857142,3.269230769230769,3.2889675724013596,,0,0,1.177763625926582
CASIGURAN NEGRITO,3.125,6.25,6.451612903225806,3.269230769230769,2.57888367819121,,0,1.155837022032687,1.2340153846051372
CEBUANO,8.823529411764707,2.941176470588235,3.225806451612903,3.269230769230769,2.7735009811261455,,2.002630855489614,0,0
CENTRAL BICOLANO,0,5.88235294117647,9.67741935483871,3.076923076923077,2.317021739990746,,0,1.2107913429697028,2.8486984666540054
CENTRAL BONTOC,2.941176470588235,2.941176470588235,6.451612903225806,3.269230769230769,3.126602153399282,,0,0,1.0178404471880473
CENTRAL DUSUN,2.941176470588235,2.941176470588235,6.451612903225806,2.6923076923076925,2.787908875382389,,0.08926718533668276,0.08926718533668276,1.3484318817280165
CENTRAL TAGBANWA,2.631578947368421,2.631578947368421,8.571428571428571,4.615384615384615,4.062808173715596,,0,0,0.9737215706214355
CUYONON,3.125,3.125,6.896551724137931,2.5,2.282177322938192,,0.27386127875258304,0.27386127875258304,1.92647244363886
DARAGA,2.5,2.5,8.108108108108109,3.6538461538461537,3.4784132840073756,,0,0,1.2805441994892377
DUMAGAT CASIGURAN,5.555555555555555,5.555555555555555,9.090909090909092,3.269230769230769,2.57888367819121,,0.8865559953942473,0.8865559953942473,2.257441221917213
DUPANINGAN AGTA,0,5,10.81081081081081,2.6923076923076925,2.787908875382389,,0,0.8277502640310598,2.91204034328044
ESKAYAN,8.333333333333332,2.7777777777777777,0,2.6923076923076925,1.898886313281875,,2.970702143445421,0.045010638537051686,0
GADDANG,2.7777777777777777,2.7777777777777777,9.090909090909092,3.4615384615384617,3.152125859780576,,0,0,1.785896528180667
HANUNOO,2.941176470588235,5.88235294117647,3.225806451612903,3.6538461538461537,2.81650356074554,,0,0.7912316598458059,0
HIGAONON BINUKID,5.128205128205128,5.128205128205128,8.333333333333332,2.8846153846153846,2.670470044095282,,0.840147879041212,0.840147879041212,2.0403591348143717
IBALOI,3.125,3.125,6.666666666666667,2.5,2.886751345948129,,0.21650635094610965,0.21650635094610965,1.4433756729740643
IBANAG,2.941176470588235,2.941176470588235,3.225806451612903,3.076923076923077,2.317021739990746,,0,0,0.06425635639069169
IDAAN,2.941176470588235,2.941176470588235,6.451612903225806,2.8846153846153846,3.035579613474763,,0.018632713739998478,0.018632713739998478,1.175063076183779
